currency,year,rate
EUR,2018,1.2421
EUR,2017,1.0798
EUR,2016,1.0837
EUR,2015,1.1288
EUR,2014,1.3487
EUR,2013,1.3579
EUR,2012,1.3078
EUR,2011,1.3686
EUR,2010,1.3863
EUR,2009,1.2783
EUR,2008,1.4866
EUR,2007,1.3034
EUR,2006,1.2155
EUR,2005,1.3034
EUR,2004,1.2469
EUR,2003,1.0769
EUR,2002,0.8585
EUR,2001,0.9365
EUR,2000,0.9695
EUR,1999,1.1366
EUR,1998,1.079
EUR,1997,1.1796
EUR,1996,1.234
EUR,1995,1.2394
EUR,1994,1.121
EUR,1993,1.211
EUR,1992,1.2685
EUR,1991,1.3932
EUR,1990,1.2085
EUR,1989,1.1128
EUR,1988,1.2278
EUR,1987,1.125
EUR,1986,0.9098
EUR,1985,0.7078
EUR,1984,0.7957
EUR,1983,0.9471
EUR,1982,1.0728
EUR,1981,1.2349
EUR,1980,1.4945
EUR,1979,1.4138
EUR,1978,1.2863
EUR,1977,1.1985
EUR,1976,1.2228
INR,2018,0.015735641
INR,2017,0.014811523
INR,2016,0.014732314
INR,2015,0.016123831
INR,2014,0.01595278
INR,2013,0.018765599
INR,2013,0.01877053
INR,2012,0.0201959
INR,2011,0.021822149
INR,2010,0.021680217
INR,2009,0.020470829
INR,2008,0.025458248
INR,2007,0.022686025
INR,2006,0.022766079
INR,2005,0.022912132
INR,2004,0.022089684
INR,2003,0.020920502
INR,2002,0.020614306
INR,2001,0.02155637
INR,2000,0.022922636
INR,1999,0.023534949
INR,1998,0.025873221
INR,1997,0.027894003
INR,1996,0.027434842
INR,1995,0.03187251
INR,1994,0.031881655
INR,1993,0.031870478
INR,1992,0.038460059
INR,1991,0.053604932
INR,1990,0.059241706
INR,1989,0.065876153
INR,1988,0.076452599
INR,1987,0.076687117
INR,1986,0.081037277
INR,1985,0.078926598
INR,1984,0.092936803
INR,1983,0.100908174
INR,1982,0.10940919
INR,1981,0.12345679
INR,1980,0.124069479
INR,1979,0.120627262
INR,1978,0.12345679
INR,1977,0.113507378
INR,1976,0.112233446
INR,1975,0.12300123
INR,1974,0.116959064
GBP,2018,1.4192
GBP,2017,1.2579
GBP,2016,1.4247
GBP,2015,1.5069
GBP,2014,1.6436
GBP,2013,1.5857
GBP,2012,1.5758
GBP,2011,1.6015
GBP,2010,1.6003
GBP,2009,1.4506
GBP,2008,1.9874
GBP,2007,1.9639
GBP,2006,1.779
GBP,2005,1.8834
GBP,2004,1.8236
GBP,2003,1.6478
GBP,2002,1.4107
GBP,2001,1.4637
GBP,2000,1.6158
GBP,1999,1.6458
GBP,1998,1.6335
GBP,1997,1.6025
GBP,1996,1.513
GBP,1995,1.579
GBP,1994,1.5055
GBP,1993,1.4865
GBP,1992,1.7855
GBP,1991,1.966
GBP,1990,1.6778
GBP,1989,1.7514
GBP,1988,1.7651
GBP,1987,1.5118
GBP,1986,1.41
GBP,1985,1.1305
GBP,1984,1.4012
GBP,1983,1.5202
GBP,1982,1.8745
GBP,1981,2.3753
GBP,1980,2.2671
GBP,1979,1.992
GBP,1978,1.952
GBP,1977,1.715
GBP,1976,2.0288
GBP,1975,2.381
GBP,1974,2.286
GBP,1973,2.3817
GBP,1972,2.5937
CAD,2018,0.812017864
CAD,2017,0.767459708
CAD,2016,0.715665927
CAD,2015,0.785422557
CAD,2014,0.898553329
CAD,2013,1.003009027
CAD,2012,0.997108386
CAD,2011,0.998801438
CAD,2010,0.93475416
CAD,2009,0.815062352
CAD,2008,0.996214385
CAD,2007,0.850267834
CAD,2006,0.877423883
CAD,2005,0.806126562
CAD,2004,0.755001888
CAD,2003,0.657375756
CAD,2002,0.630397781
CAD,2001,0.667378537
CAD,2000,0.691610761
CAD,1999,0.66203244
CAD,1998,0.687616035
CAD,1997,0.742059958
CAD,1996,0.728066982
CAD,1995,0.71063104
CAD,1994,0.752275634
CAD,1993,0.788705734
CAD,1992,0.851281178
CAD,1991,0.859919168
CAD,1990,0.842247115
CAD,1989,0.844451951
CAD,1988,0.78486775
CAD,1987,0.74615729
CAD,1986,0.702740689
CAD,1985,0.753465943
CAD,1984,0.800448251
CAD,1983,0.808603542
AUD,2018,0.8055
AUD,2017,0.7585
AUD,2016,0.7085
AUD,2015,0.7769
AUD,2014,0.8756
AUD,2013,1.0424
AUD,2012,1.0616
AUD,2011,0.9967
AUD,2010,0.8847
AUD,2009,0.6351
AUD,2008,0.8961
AUD,2007,0.7768
AUD,2006,0.7587
AUD,2005,0.7752
AUD,2004,0.7638
AUD,2003,0.5875
AUD,2002,0.5079
AUD,2001,0.5512
AUD,2000,0.6369
AUD,1999,0.6305
AUD,1998,0.6847
AUD,1997,0.7623
AUD,1996,0.7466
AUD,1995,0.7566
AUD,1994,0.7087
AUD,1993,0.6798
AUD,1992,0.7507
AUD,1991,0.7825
AUD,1990,0.7712
AUD,1989,0.8866
AUD,1988,0.7067
AUD,1987,0.659
AUD,1986,0.7138
AUD,1985,0.8138
AUD,1984,0.9172
AUD,1983,0.9677
AUD,1982,1.099
AUD,1981,1.1684
AUD,1980,1.1071
AUD,1979,1.1326
AUD,1978,1.1382
AUD,1977,1.087
AUD,1976,1.2588
AUD,1975,1.3383
AUD,1974,1.485
AUD,1973,1.271
AUD,1972,1.191
AUD,1971,1.123
FRF,1975,4.3223
FRF,1976,4.476
FRF,1977,4.976
FRF,1978,4.775
FRF,1979,4.3212
FRF,1980,4.0855
FRF,1981,4.88
FRF,1982,5.968
FRF,1983,6.9735
FRF,1984,8.575
FRF,1985,9.69
FRF,1986,7.3275
FRF,1987,6.0885
FRF,1988,5.709
FRF,1989,6.3735
FRF,1990,5.7122
FRF,1991,4.9955
FRF,1992,5.4695
FRF,1993,5.528
FRF,1994,5.8662
FRF,1995,5.2758
FRF,1996,5.1237
FRF,1997,5.524
FRF,1998,6.1268
FRF,1999,5.8024
FRF,2000,6.7437
FRF,2001,6.9768
SEK,2018,0.126922882
SEK,2017,0.114391608
SEK,2016,0.116527028
SEK,2015,0.120851763
SEK,2014,0.15272072
SEK,2013,0.157188217
SEK,2012,0.146993973
SEK,2011,0.154942671
SEK,2010,0.135341806
SEK,2009,0.119431506
SEK,2008,0.15706724
SEK,2007,0.143899386
SEK,2006,0.131754042
SEK,2005,0.143036961
SEK,2004,0.135420616
SEK,2003,0.116505307
SEK,2002,0.093717199
SEK,2001,0.105607773
SEK,2000,0.112786619
SEK,1999,0.128234721
SEK,1998,0.12328784
SEK,1997,0.137923425
SEK,1996,0.143924238
SEK,1995,0.133244504
SEK,1994,0.126938993
SEK,1993,0.136928154
SEK,1992,0.170852554
