title_id,title_name,title_year
tt0898266,The Big Bang Theory,(2007– )
tt0096697,The Simpsons,(1989– )
tt9095260,Criminal Justice,(2019– )
tt9398466,Delhi Crime,(2019– )
tt6494622,Made in Heaven,(2019– )
tt0285333,Alias,(2001–2006)
tt6077448,Sacred Games,(2018– )
tt6473300,Mirzapur,(2018– )
tt7269100,Laakhon Mein Ek,(2017– )
tt8228316,Gandii Baat,(2018– )
tt9426440,The Final Call,(2019– )
tt8242548,Four More Shots Please,(2019– )
tt6112414,Inside Edge,(2017– )
tt6466208,Breathe,(2018– )
tt6009150,Karenjit Kaur - The Untold Story of Sunny Leone,(2018– )
tt0158417,Mahabharat,(1988–1990)
tt8392006,Apharan,(2018– )
tt8062474,21 Sarfarosh Saragarhi 1897,(2018– )
tt9778022,Abhay,(2019– )
tt8317568,Broken But Beautiful,(2018– )
tt2792284,24: India,(2013– )
tt6522580,Little Things,(2016– )
tt5747326,The Kapil Sharma Show,(2016– )
tt7392222,Ragini MMS Returns,(2017– )
tt4156586,Permanent Roommates,(2014– )
tt8351480,Puncch Beat,(2018– )
tt8254348,ImMATURE,(2019– )
tt8595766,Yeh Meri Family,(2018– )
tt8130522,Love Lust and Confusion,(2018– )
tt1739744,Powder,(2010– )
tt5323298,Naagin,(2015– )
tt2300165,Iss Pyaar Ko Kya Naam Doon,(2011– )
tt9420618,Rangbaaz,(2018– )
tt7927936,Flames,(2018– )
tt4014320,MTV Kaisi Yeh Yaariyan,(2014– )
tt4853764,Stories by Rabindranath Tagore,(2015)
tt9077626,Smoke,(2018–2019)
tt4193556,The Suite Life of Karan & Kabir,(2012– )
tt5547122,Bhabhi,(2002–2008)
tt8523124,Dil Hi Toh Hai,(2018– )
tt1118804,Clannad,(2007–2008)
tt8809646,College Romance,(2018– )
tt7665182,TVF Bachelors,(2016– )
tt3911870,Kumkum Bhagya,(2014– )
tt7151510,Dev DD,(2017– )
tt7151584,Karrle Tu Bhi Mohabbat,(2017– )
tt3212600,Mahabharat,(2013–2014)
tt1494058,Kahiin To Hoga,(2003–2007)
tt1900118,Kitani Mohabbat Hai,(2009– )
tt6868278,The Test Case,(2017– )
tt6883044,Bose: Dead/Alive,(2017)
tt3426342,Jodha Akbar,(2013– )
tt1708446,Taarak Mehta Ka Ooltah Chashmah,(2008– )
tt1889879,Kayamath,(2007– )
tt8006806,Kehne Ko Humsafar Hain,(2018– )
tt8324806,Kaushiki,(2018)
tt9737600,Divya Drishti,(2019– )
tt1281973,Bigg Boss,(2006– )
tt7154568,Tere Liye,(2010–2011)
tt5201864,Hatim,(2003–2004)
tt7781554,Bepannaah,(2018– )
tt2147999,Devon Ke Dev... Mahadev,(2011–2014)
tt0244911,Malgudi Days,(1987–2006)
tt7205164,Maaya: Slave of Her Desires,(2017)
tt3476414,Laagi Tujhse Lagan,(2009–2012)
tt8292460,The Great Indian Dysfunctional Family,(2018– )
tt1739752,Rishta.com,(2010– )
tt9833584,Yeh Rishtey Hain Pyaar Ke,(2019– )
tt0157217,Byomkesh Bakshi,(1993–1997)
tt7715102,Shockers,(2016– )
tt1341970,Kahaani Ghar Ghar Kii,(2000–2008)
tt5919914,Ishqbaaaz,(2016– )
tt2103372,Balika Vadhu,(2008–2016)
tt9401936,Girls Hostel,(2018– )
tt0401916,C.I.D.,(1998– )
tt8806156,Dil Dosti Dance,(2011–2016)
tt6141604,Box Cricket League,(2014– )
tt8729932,Kasautii Zindagii Kay,(2018– )
tt9024790,Hey Prabhu!,(2019)
tt1592812,Shararat,(2003–2006)
tt0809387,Kasamh Se,(2006– )
tt9779850,Chhoriyan,(2019– )
tt8765712,Dharam Veer,(2008)
tt8479368,Anjaan: Special Crimes Unit,(2018– )
tt8706902,Nazar,(2018– )
tt5989104,May I Come in Madam?,(2016– )
tt5697728,Kuch Rang Pyar Ke Aise Bhi,(2016–2017)
tt4775018,Baked,(2015– )
tt1450737,Kasautii Zindagii Kay,(2001–2008)
tt6795580,Operation Cobra,(2019– )
tt7383658,Yeh Un Dinon Ki Baat Hai,(2017– )
tt5154982,Bhabi Ji Ghar Par Hai,(2015– )
tt5958200,Gunahon Ka Devta,(2010–2011)
tt0363341,Hum Log,(1984–1985)
tt6585100,Iss Pyaar Ko Kya Naam Doon? Ek Baar Phir,(2013–2015)
tt2955622,Chandragupta Maurya,(2011–2012)
tt7752860,Tu Aashiqui,(2017– )
tt2375256,Gumrah End of Innocence,(2012– )
tt2004927,Sssshh... Phir Koi Hai (Tritiya),(2010– )
tt5328326,Suryaputra Karn,(2015– )
tt8903210,Guddan - Tumse Na Ho Paayega,(2018– )
tt6268260,The Aam Aadmi Family,(2016– )
tt2500352,Qubool Hai,(2012–2016)
tt6350894,Pardes Mein Hai Mera Dil,(2016– )
tt3248552,Pyaar Ka Dard Hai Meetha Meetha Pyaara Pyaara,(2012– )
tt6829194,Kasturi,(2007–2010)
tt6805492,Chotti Bahu,(2008–2012)
tt9480484,Anjaan: Rural Myths,(2018)
tt1518542,Sarabhai vs Sarabhai,(2004–2017)
tt0461877,Kutumb,(2000–2003)
tt3175266,Sonpari,(2001)
tt3550730,Yeh Hai Mohabbatein,(2013– )
tt0389680,Shaktimaan,(1997–2005)
tt7901874,Aapke Aa Jaane Se,(2018– )
tt9432978,Kota Factory,(2019– )
tt7310234,Best Friends Forever?,(2012–2013)
tt0295776,Fauji,(1988)
tt6994570,Ek veer ki adaas: Veera,(2012–2015)
tt8305218,The Office (India),(2019– )
tt10042110,BOSS: Baap of Special Services,(2019– )
tt1985481,Jai Shri Krishna,(2008–2009)
tt3676882,Shaka Laka Boom Boom,(2000–2004)
tt6114506,Ek Duje Ke Vaaste,(2016– )
tt1094444,Kaisa Yeh Pyaar Hai,(2005–2006)
tt4523406,Savdhaan India: Crime Alert,(2012– )
tt7153022,Girl in the City Chapter 2,(2017)
tt7166518,Rain,(2017– )
tt9910242,Shaadi Ke Siyape,(2019– )
tt2603432,Karam Apnaa Apnaa,(2006–2009)
tt9081856,13 Mussoorie,(2018)
tt1860700,Khotey Sikkey,(2011– )
tt4068208,Yeh Hai Aashiqui,(I) (2013– )
tt2282359,Pavitra Rishta,(2009– )
tt9209760,Manmohini,(2018– )
tt7151596,Romil and Jugal,(2017– )
tt0268093,Ramayan,(1987–1988)
tt0278212,Kyunki... Saas Bhi Kabhi Bahu Thi...,(2000–2008)
tt6890994,Kaala Teeka,(2015–2017)
tt10055910,Sex Drugs & Theatre,(2019– )
tt6979286,Maharakshak Aryan,(2014–2015)
tt9649436,Enaaya,(2019– )
tt0397120,Aaryaman Brahmand Ka Yoddha,(2002– )
tt7880766,Jijaji Chhat Par Hai,(2018– )
tt7357672,What the Folks,(2017– )
tt7651452,Bahu Hamari Rajni Kant,(2016–2017)
tt2764752,Saraswatichandra,(2013– )
tt4570984,Akbar Birbal,(2014– )
tt3433480,Buddha: Rajaon ka Raja,(2013– )
tt0250875,Kaun Banega Crorepati?,(2000– )
tt9031094,SideHero,(2018– )
tt9203736,Tantra,(2018– )
tt7189506,CLASS of 2017,(2017– )
tt9025262,Aafat,(2019– )
tt5830106,Life Sahi Hai,(2016– )
tt4643420,Om Nom Stories,(2011– )
