year,value
2018,31.38595651
2017,30.74944304
2016,29.99945662
2015,29.59401857
2014,29.62067718
2013,29.15994997
2012,28.70356331
2011,27.88648918
2010,27.43922973
2009,26.73607106
2008,26.72805265
2007,25.63104397
2006,25.10878131
2005,24.14538063
2004,23.4489469
2003,23.00495134
2002,22.42197987
2001,22.16925041
2000,21.37207212
1999,20.80209473
1998,20.46040595
1997,20.1441429
1996,19.54982813
1995,19.03030091
1994,18.51196587
1993,18.0569312
1992,17.48685958
1991,17.04372279
1990,16.13225063
1989,15.334839
1988,14.65065348
1987,14.08039739
1986,13.87778177
1985,13.35814975
1984,12.90268497
1983,12.3838036
1982,11.94079992
1981,11.01651437
1980,9.851126143
1979,8.648166222
1978,7.913768505
1977,7.407121401
1976,7.039651588
1975,6.596375176
1974,5.900156687
1973,5.393689265
1972,5.203752306
1971,5.038977734
1970,4.785808466
1969,4.50725981
1968,4.317298668
1967,4.165266443
1966,4.025967952
1965,3.950125542
1964,3.912177421
1963,3.849052952
1962,3.798532471
1961,3.773251684
1960,3.709813867
1959,3.671992346
1958,3.621294227
1957,3.494783079
1956,3.39332273
1955,3.380813719
1954,3.406018254
1953,3.367960303
1952,3.355210503
1951,3.215959458
1950,2.975260855
1949,3.03846084
1948,3.000356315
1947,2.721905393
1946,2.304161004
1945,2.253458194
1944,2.202793934
1943,2.139465748
1942,1.987612177
1941,1.785013181
1940,1.759673877
1939,1.772256901
1938,1.797603105
1937,1.784930101
1936,1.747019772
1935,1.721710626
1934,1.671076993
1933,1.633027454
1932,1.810251029
1931,2.012731854
1930,2.164693325
1929,2.164693325
1928,2.190098467
1927,2.215353497
1926,2.265882681
1925,2.189893381
1924,2.189893381
1923,2.126522996
1922,2.139143945
1921,2.40488358
1920,2.442746146
1919,2.088352694
1918,1.771892664
1917,1.480772743
1916,1.316242438
1915,1.278277593
1914,1.26562138
1913,1.240318875
1912,1.155504821
1911,1.168120522
1910,1.252944892
1909,1.131429376
1908,1.096027682
1907,1.120110048
1906,1.071978226
1905,1.071978226
1904,1.047979496
1903,1.096098207
1902,0.99990714
1901,0.9759
1900,1
